partido_id;a;b;prob
EGY_BEL;4;2;0,0046
EGY_BEL;4;3;0,0027
EGY_BEL;4;4;0,0012
EGY_BEL;5;1;0,0011
FRA_NOR;0;0;0,0362
FRA_NOR;0;1;0,0377
FRA_NOR;0;2;0,0348
FRA_NOR;0;3;0,0179
FRA_NOR;0;4;0,0069
FRA_NOR;0;5;0,0021
FRA_NOR;1;0;0,0508
FRA_NOR;1;1;0,0969
FRA_NOR;1;2;0,0694
FRA_NOR;1;3;0,0358
FRA_NOR;1;4;0,0139
FRA_NOR;1;5;0,0043
FRA_NOR;1;6;0,0011
FRA_NOR;2;0;0,0579
FRA_NOR;2;1;0,0896
FRA_NOR;2;2;0,0694
FRA_NOR;2;3;0,0358
FRA_NOR;2;4;0,0138
FRA_NOR;2;5;0,0043
FRA_NOR;2;6;0,0011
FRA_NOR;3;0;0,0386
FRA_NOR;3;1;0,0597
FRA_NOR;3;2;0,0462
FRA_NOR;3;3;0,0238
FRA_NOR;3;4;0,0092
FRA_NOR;3;5;0,0029
FRA_NOR;4;0;0,0193
FRA_NOR;4;1;0,0298
FRA_NOR;4;2;0,0231
FRA_NOR;4;3;0,0119
FRA_NOR;4;4;0,0046
FRA_NOR;4;5;0,0014
FRA_NOR;5;0;0,0077
FRA_NOR;5;1;0,0119
FRA_NOR;5;2;0,0092
FRA_NOR;5;3;0,0048
FRA_NOR;5;4;0,0018
FRA_NOR;6;0;0,0026
FRA_NOR;6;1;0,004
FRA_NOR;6;2;0,0031
FRA_NOR;6;3;0,0016
GHA_CRO;0;0;0,0721
GHA_CRO;0;1;0,133
GHA_CRO;0;2;0,1491
GHA_CRO;0;3;0,1061
GHA_CRO;0;4;0,0566
GHA_CRO;0;5;0,0242
GHA_CRO;0;6;0,0086
GHA_CRO;1;0;0,0325
GHA_CRO;1;1;0,0903
GHA_CRO;1;2;0,0892
GHA_CRO;1;3;0,0635
GHA_CRO;1;4;0,0339
GHA_CRO;1;5;0,0145
GHA_CRO;1;6;0,0051
GHA_CRO;2;0;0,0117
GHA_CRO;2;1;0,025
GHA_CRO;2;2;0,0267
GHA_CRO;2;3;0,019
GHA_CRO;2;4;0,0101
GHA_CRO;2;5;0,0043
GHA_CRO;2;6;0,0015
GHA_CRO;3;0;0,0023
GHA_CRO;3;1;0,005
GHA_CRO;3;2;0,0053
GHA_CRO;3;3;0,0038
GHA_CRO;3;4;0,002
