jugador;partidos_amonestado
Jean-Ricner Bellegarde;3
Jefferson Encada;1
Jefferson Lerma;5
Jefferson Valladares;2
Jehad Thakri;1
Jens Hofer;1
Jens-Lys Cajuste;1
Jerdy Schouten;1
Jere Uronen;1
Jeremy Antonisse;2
Jeremy Sarmiento;1
Jerome Opoku;1
Jesper Karlström;2
Jesús Castillo;1
Jesús Gallardo;4
Jesús Navas;1
Jesús Orozco;2
Jeyland Mitchell;3
Jhon Arias;1
Jhon Córdoba;5
Jhon Durán;5
Jhon Kapaya;1
Jhon Lucumí;1
Jhon Murillo;1
Jhonder Cádiz;1
Jhonny Vidales;1
Jimmy Kaparos;1
Jin-gyu Kim;1
Jo-guk Ri;1
Joachim Andersen;11
Joakim Mæhle;3
Joan Cervós;1
Job Ochieng;1
Jodel Dossou;3
Joe Bell;2
Joe Rodon;1
Joe Scally;2
Joel Campbell;1
Joel Graterol;1
Joel Guillén;1
Joel Latibeaudiere;1
Joel Ordóñez;1
Joel Pohjanpalo;2
Joel Sserunjogi;1
Joel Waterman;5
Joelinton;1
Joey Veerman;1
Johan Mojica;1
Johan Vásquez;3
John Manyang;1
